2025-09-11 19:43:51 | INFO | Creating Kafka consumer. Topic='buzzline_json' and group ID='buzz_group'.
2025-09-11 19:43:53 | ERROR | Error creating Kafka consumer: NoBrokersAvailable
2025-09-11 19:43:58 | INFO | Logging to file: logs/project_log.log
2025-09-11 19:43:58 | INFO | Log sanitization enabled, personal info removed
2025-09-11 19:43:58 | INFO | START consumer.
2025-09-11 19:43:58 | INFO | Kafka topic: buzzline_json
2025-09-11 19:43:58 | INFO | Kafka consumer group id: buzz_group
2025-09-11 19:43:58 | INFO | Consumer: Topic 'buzzline_json' and group 'buzz_group'...
2025-09-11 19:43:58 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:43:58 | INFO | Creating Kafka consumer. Topic='buzzline_json' and group ID='buzz_group'.
2025-09-11 19:44:00 | ERROR | Error creating Kafka consumer: NoBrokersAvailable
2025-09-11 19:44:13 | INFO | Logging to file: logs/project_log.log
2025-09-11 19:44:13 | INFO | Log sanitization enabled, personal info removed
2025-09-11 19:44:13 | INFO | Project root: PROJECT_ROOT
2025-09-11 19:44:13 | INFO | Data folder: PROJECT_ROOT/data
2025-09-11 19:44:13 | INFO | Data file: PROJECT_ROOT/data/buzz.json
2025-09-11 19:44:13 | INFO | START producer.
2025-09-11 19:44:13 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:44:15 | ERROR | Error checking Kafka: NoBrokersAvailable
2025-09-11 19:44:15 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-09-11 19:44:34 | INFO | Logging to file: logs/project_log.log
2025-09-11 19:44:34 | INFO | Log sanitization enabled, personal info removed
2025-09-11 19:44:34 | INFO | Project root: PROJECT_ROOT
2025-09-11 19:44:34 | INFO | Data folder: PROJECT_ROOT/data
2025-09-11 19:44:34 | INFO | Data file: PROJECT_ROOT/data/buzz.json
2025-09-11 19:44:34 | INFO | START producer.
2025-09-11 19:44:34 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:44:35 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': '_qad_MQZRtmfrbOLzRMSMg', 'controller_id': 1}
2025-09-11 19:44:35 | INFO | Kafka topic: buzzline_json
2025-09-11 19:44:35 | INFO | Message interval: 1 seconds
2025-09-11 19:44:35 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:44:35 | INFO | Connecting to Kafka broker at localhost:9092...
2025-09-11 19:44:35 | INFO | Kafka producer successfully created.
2025-09-11 19:44:35 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:44:35 | INFO | Topic 'buzzline_json' already exists. Recreating fresh...
2025-09-11 19:44:35 | INFO | Requested deletion of topic 'buzzline_json'.
2025-09-11 19:44:35 | INFO | Topic 'buzzline_json' created successfully.
